X,X1,X2,X3,X4,Q,Grate,Crate,Prate,last,DATE
C,P,C,P,G,4,0.333333333,0.333333333,0.333333333,G,1996/1/7
G,C,P,C,P,0,0.361111111,0.277777778,0.361111111,G,1996/1/14
G,G,C,P,C,0,0.303030303,0.303030303,0.393939394,P,1996/1/21
P,G,G,C,P,0,0.233333333,0.333333333,0.433333333,P,1996/1/28
C,P,G,G,C,0,0.259259259,0.37037037,0.37037037,C,1996/2/4
P,C,P,G,G,0,0.291666667,0.291666667,0.416666667,G,1996/2/11
P,P,C,P,G,0,0.333333333,0.333333333,0.333333333,G,1996/2/18
G,P,P,C,P,0,0.388888889,0.388888889,0.222222222,G,1996/2/25
C,G,P,P,C,0,0.266666667,0.466666667,0.266666667,C,1996/3/3
C,C,G,P,P,0,0.333333333,0.333333333,0.333333333,P,1996/3/10
G,C,C,G,P,0,0.444444444,0.111111111,0.444444444,P,1996/3/17
P,G,C,C,G,0,0.166666667,0.166666667,0.666666667,P,1996/3/24
G,P,G,C,C,0,0.333333333,0.333333333,0.333333333,C,1996/3/31
C,G,P,G,C,1,0.333333333,0.333333333,0.333333333,C,1996/4/7
P,C,G,P,G,0,0.361111111,0.277777778,0.361111111,P,1996/4/14
P,P,C,G,P,0,0.393939394,0.303030303,0.303030303,G,1996/4/21
C,P,P,C,G,0,0.433333333,0.333333333,0.233333333,G,1996/4/28
G,C,P,P,C,0,0.481481481,0.259259259,0.259259259,G,1996/5/5
G,G,C,P,P,0,0.416666667,0.291666667,0.291666667,P,1996/5/12
C,G,G,C,P,0,0.333333333,0.333333333,0.333333333,P,1996/5/19
P,C,G,G,C,0,0.388888889,0.222222222,0.388888889,P,1996/5/26
C,P,C,G,G,0,0.466666667,0.266666667,0.266666667,G,1996/6/2
P,C,P,C,G,0,0.583333333,0.083333333,0.333333333,G,1996/6/9
G,P,C,P,C,0,0.777777778,0.111111111,0.111111111,G,1996/6/16
C,G,P,C,P,0,0.666666667,0.166666667,0.166666667,C,1996/6/23
G,C,G,P,C,0,1.333333333,-0.666666667,0.333333333,P,1996/6/30
C,G,C,G,P,2,0.333333333,0.333333333,0.333333333,P,1996/7/7
C,C,G,C,G,0,0.361111111,0.277777778,0.361111111,P,1996/7/14
P,C,C,G,C,0,0.393939394,0.212121212,0.393939394,P,1996/7/21
G,P,C,C,G,0,0.433333333,0.233333333,0.333333333,G,1996/7/28
P,G,P,C,C,0,0.37037037,0.259259259,0.37037037,C,1996/8/4
P,P,G,P,C,0,0.416666667,0.291666667,0.291666667,C,1996/8/11
C,P,P,G,P,0,0.476190476,0.333333333,0.19047619,C,1996/8/18
C,C,P,P,G,0,0.555555556,0.222222222,0.222222222,G,1996/8/25
G,C,C,P,P,0,0.666666667,0.066666667,0.266666667,G,1996/9/1
P,G,C,C,P,0,0.583333333,0.083333333,0.333333333,P,1996/9/8
G,P,G,C,C,0,0.777777778,0.111111111,0.111111111,C,1996/9/15
G,G,P,G,C,0,0.666666667,0.166666667,0.166666667,C,1996/9/22
C,G,G,P,G,0,0.333333333,0.333333333,0.333333333,C,1996/9/29
P,C,G,G,P,3,0.333333333,0.333333333,0.333333333,P,1996/10/13
C,P,C,G,G,0,0.366666667,0.366666667,0.266666667,G,1996/10/27
G,C,P,C,G,0,0.407407407,0.296296296,0.296296296,G,1996/11/3
G,G,C,P,C,0,0.333333333,0.333333333,0.333333333,P,1996/11/10
P,G,G,C,P,0,0.238095238,0.380952381,0.380952381,P,1996/11/17
C,P,G,G,C,0,0.277777778,0.444444444,0.277777778,C,1996/11/24
P,C,P,G,G,0,0.333333333,0.333333333,0.333333333,G,1996/12/1
P,P,C,P,G,0,0.416666667,0.416666667,0.166666667,G,1996/12/8
G,P,P,C,P,0,0.555555556,0.555555556,-0.111111111,G,1996/12/15
G,G,P,P,C,0,0.333333333,0.833333333,-0.166666667,C,1996/12/22
C,G,G,P,P,0,-0.333333333,1.666666667,-0.333333333,C,1996/12/29
C,C,G,G,P,4,0.333333333,0.333333333,0.333333333,P,1997/1/5
G,C,C,G,G,0,0.361111111,0.277777778,0.361111111,P,1997/1/12
P,G,C,C,G,0,0.303030303,0.303030303,0.393939394,P,1997/1/19
C,P,G,C,C,0,0.333333333,0.333333333,0.333333333,C,1997/1/26
P,C,P,G,C,0,0.37037037,0.259259259,0.37037037,G,1997/2/2
